epoch,seed,model,base_model,experiment_group,physics_lambda,train_total_loss,train_data_mse,train_physics_loss,val_mse_norm,lr
1,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.05727875911810013,0.05723944367594076,0.03931557073009125,0.004547480313818236,0.001
2,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0046614736793890565,0.004618119319233712,0.043354366159772284,0.003128495402544161,0.001
3,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0033157351908831246,0.003272459618592978,0.04327557416050454,0.00423132557115981,0.001
4,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.002697419917488598,0.0026539352685830114,0.04348464213759016,0.037266657746212496,0.001
5,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.004559149326926279,0.004515310087314504,0.04383922694154531,0.0021128646359027583,0.001
6,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0038157722473580306,0.0037718991950003904,0.04387304962730309,0.004045129575933091,0.001
7,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0025980020552684646,0.0025546349460687143,0.04336710695339286,0.001910520831104998,0.001
8,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0018863666470752601,0.001842192192557104,0.0441744574201033,0.0017355561902035693,0.001
9,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.002667144493597095,0.0026230492427131435,0.04409524238442782,0.0017419903863059437,0.001
10,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.001792898567684581,0.0017487851843309222,0.04411338096943455,0.0016380818352634131,0.001
11,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0020861682428074055,0.002041955436068909,0.04421280032914618,0.0018308615764144106,0.001
12,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.00498643844734538,0.0049427820745119,0.04365636473887949,0.0026857407880578063,0.001
13,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0019600691729828746,0.001916407393947182,0.043661777377437115,0.0017280381905130935,0.0005
14,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0016494717164057659,0.001605594551068293,0.043877166373882726,0.0016154785250237095,0.0005
15,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.001599866510383345,0.0015560586839879615,0.04380782456841034,0.0015504181155583997,0.0005
16,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.002016189914388586,0.00197233262871475,0.043857290824069244,0.0018966277017469567,0.0005
17,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0017028664775996798,0.0016586675415178047,0.04419893637206984,0.0016276266494459936,0.0005
18,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.001597455161740313,0.0015534860737319055,0.043969087834869115,0.0015476040782829846,0.0005
19,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0015592144805346047,0.0015153582078909914,0.04385627442141744,0.0018264510914017468,0.0005
20,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0018477505811694509,0.0018039066375832905,0.04384394386092945,0.0017499909269429994,0.0005
21,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0016187896266797515,0.0015748866406408203,0.04390298433247067,0.0015104447816530072,0.0005
22,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0015241794034358553,0.001480295926363325,0.043883475025741706,0.0014545465752050497,0.0005
23,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.001494607503244395,0.0014506736717246642,0.04393382822442993,0.0014513136103641295,0.0005
24,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0014516740091825694,0.001407675888446231,0.04399811899131376,0.0014363403301596066,0.0005
25,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0014574074099133443,0.0014133877218527407,0.044019684619723394,0.0014489888756846387,0.0005
26,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0014256185334509403,0.0013816285721512268,0.04398995657946999,0.001396181545521758,0.0005
27,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0014290847295199136,0.0013851209326240371,0.04396379722849182,0.0013910766476135396,0.0005
28,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.001414204945963254,0.0013703085774002407,0.04389636925041799,0.0013804292235442479,0.0005
29,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0014072497035222471,0.0013633887102734877,0.04386098877243374,0.00140173416438508,0.0005
30,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0014086294015165704,0.001364830303739556,0.04379909619781541,0.001425571163220934,0.0005
31,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0013808284979699252,0.001337069289914986,0.04375920883586194,0.0013843025266449304,0.00025
32,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.001344665994276688,0.0013009672822993765,0.043698709057046266,0.001343079210497475,0.00025
33,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0013447767788810389,0.0013011155750527283,0.04366120099095824,0.0013325948736085983,0.00025
34,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0013461862240029079,0.0013025785771277627,0.0436076435027162,0.00134059005126735,0.00025
35,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0013464211577146582,0.0013028218066965772,0.043599348993466756,0.0013406890948361532,0.00025
36,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0013422675284472203,0.0012986835352131638,0.04358398969869436,0.001364770377446236,0.000125
37,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0013249573454706242,0.0012814050792681736,0.043552263931026125,0.0013169864465927949,0.000125
38,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0013222392089520321,0.0012787012262829034,0.043537978699920585,0.0013200417796491784,0.000125
39,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.001322664768776353,0.0012791473350987055,0.043517434425790855,0.0013201807913536898,0.000125
40,42,GridGCN_PhysicsLoss_lambda_1em03,GridGCN_PhysicsLoss,physics_lambda_ablation,0.001,0.0013228171819813287,0.0012793128496068713,0.043504327975259806,0.0013172168730069761,6.25e-05
